phrasal,meaning_en,examples,tags,sense_uid,separable,intransitive
give away,to donate or reveal,"[""They gave away free samples."",""He gave away the secret.""]","[""work"",""daily""]",give_away__donate_reveal,true,false
give back,to return,"[""Give back the borrowed book."",""He gave back the money.""]","[""work"",""daily""]",give_back__return,true,false
give in,to stop resisting,"[""She gave in to the pressure."",""He finally gave in.""]","[""work"",""daily""]",give_in__surrender,false,false
give in to,to surrender,"[""He gave in to the pressure."",""She gave in to temptation.""]","[""work"",""daily""]",give_in_to__surrender,false,false
give out,to distribute or stop working,"[""They gave out certificates."",""The engine gave out.""]","[""work"",""daily""]",give_out__distribute,true,false
give out to,to fail or break down,"[""The old machine finally gave out."",""Her strength gave out.""]","[""IT"",""daily""]",give_out_to__fail,false,false
give up,to stop trying,"[""Don't give up now."",""He gave up learning Spanish.""]","[""work"",""daily""]",give_up__stop,false,false
gloss over,to avoid discussing,"[""They glossed over the problems."",""He glossed over his mistakes.""]","[""work"",""meetings""]",gloss_over__avoid,false,false
go about,to begin or approach,"[""How should we go about fixing this?"",""She went about her work calmly.""]","[""work"",""projects""]",go_about__approach,false,false
go after,to pursue,"[""He went after a new job."",""She went after her goals.""]","[""work"",""career""]",go_after__pursue,false,false
go against,to oppose,"[""The decision goes against our values."",""He went against the manager’s advice.""]","[""work"",""projects""]",go_against__oppose,false,false
go ahead,to proceed,"[""Go ahead with the deployment."", ""She went ahead despite doubts.""]","[""work"", ""projects""]",go_ahead__proceed,false,false
go ahead with,to proceed,"[""Go ahead with the plan."",""They went ahead with the release.""]","[""work"",""projects""]",go_ahead_with__proceed,false,false
go along with,to agree,"[""She went along with the decision."",""He went along with the proposal.""]","[""work"",""meetings""]",go_along_with__agree,false,false
go around,to circulate or be enough,"[""Rumors are going around."",""There’s enough food to go around.""]","[""work"",""daily""]",go_around__circulate,false,false
go away,to leave or disappear,"[""Go away, I’m busy."",""The pain went away.""]","[""daily""]",go_away__leave,false,false
go back on,to break a promise,"[""He went back on his word."",""The company went back on its promise.""]","[""work"",""daily""]",go_back_on__break,false,false
go back over,to review again,"[""Let’s go back over the document."",""She went back over her notes.""]","[""work"",""projects""]",go_back_over__review,false,false
go by,to pass or use a name,"[""Time goes by quickly."",""He goes by a nickname.""]","[""work"",""daily""]",go_by__pass,false,false
go down,to decrease or be remembered,"[""Sales went down last quarter."",""That day will go down in history.""]","[""work"",""daily""]",go_down__decrease,false,false
go for,to attempt or choose,"[""He went for the promotion."",""She went for the last slice.""]","[""work"",""daily""]",go_for__attempt,false,false
go in for,to enjoy or participate,"[""She goes in for hiking."",""He went in for the contest.""]","[""daily""]",go_in_for__participate,false,false
go into,to enter or describe in detail,"[""The report goes into detail."",""He went into the room.""]","[""work"",""projects""]",go_into__detail,false,false
go off,to explode or stop working,"[""The alarm went off."",""The bomb went off.""]","[""IT"",""daily""]",go_off__explode,false,false
go off with,to leave with,"[""She went off with her friend."",""He went off with the prize.""]","[""daily""]",go_off_with__leave,false,false
go on,to continue,"[""The show must go on."",""He went on talking.""]","[""work"",""daily""]",go_on__continue,false,false
go on about,to talk excessively,"[""He kept going on about his job."",""She goes on about politics.""]","[""daily""]",go_on_about__talk,false,false
go out,to stop burning or leave,"[""The lights went out."",""They went out last night.""]","[""daily""]",go_out__stop_leave,false,false
go over,to review or examine,"[""Let's go over the report together."", ""She went over the code twice.""]","[""work"", ""IT"", ""meetings""]",go_over__review,false,false
go over to,to switch to,"[""They went over to a new system."",""He went over to the other side.""]","[""work"",""IT""]",go_over_to__switch,false,false
go through with,to complete despite difficulty,"[""He went through with the plan."",""They went through with the merger.""]","[""work"",""projects""]",go_through_with__complete,false,false
go together,to match,"[""These colors go together well."",""Hard work and success go together.""]","[""daily""]",go_together__match,false,false
go under,to fail or sink,"[""The company went under."",""The boat went under quickly.""]","[""work"",""daily""]",go_under__fail,false,false
go up,to increase,"[""Prices went up again."",""The temperature went up.""]","[""work"",""daily""]",go_up__increase,false,false
go without,to live without,"[""We had to go without internet."",""She went without lunch.""]","[""work"",""daily""]",go_without__live,false,false
grow apart,to become distant,"[""They grew apart over the years."",""We grew apart after school.""]","[""daily""]",grow_apart__distant,false,false
grow into,to develop into,"[""She grew into a confident leader."",""He grew into his role.""]","[""work"",""career""]",grow_into__develop,false,false
grow on,to become liked,"[""This song grew on me."",""The idea grew on the team.""]","[""daily"",""work""]",grow_on__liked,false,false
grow out of,to stop liking or needing,"[""He grew out of gaming."",""She grew out of her old clothes.""]","[""daily""]",grow_out_of__stop,false,false
grow up,to mature,"[""He grew up in London."",""She grew up quickly.""]","[""daily""]",grow_up__mature,false,false
hand back,to return,"[""He handed back the report."",""She handed back the borrowed book.""]","[""work"",""daily""]",hand_back__return,true,false
hand down,to pass to younger,"[""The tradition was handed down."",""He handed down his watch.""]","[""daily""]",hand_down__pass,true,false
hand in,to submit,"[""Please hand in your report."",""He handed in his resignation.""]","[""work"",""projects""]",hand_in__submit,true,false
hand out,to distribute,"[""She handed out leaflets."",""They handed out the tests.""]","[""work"",""daily""]",hand_out__distribute,true,false
hand over,to give control or responsibility to someone else,"[""He handed over the project to me."", ""The shift was handed over smoothly.""]","[""work"", ""projects""]",hand_over__transfer,true,false
hang about,to wait aimlessly,"[""They hung about outside."",""He hung about near the station.""]","[""daily""]",hang_about__wait,false,false
hang around,to loiter,"[""Stop hanging around the office."",""They hung around the park.""]","[""daily""]",hang_around__loiter,false,false
hang on,to wait or hold tightly,"[""Hang on a second."",""He hung on to the rope.""]","[""work"",""daily""]",hang_on__wait,false,false
hang out,to spend time socially,"[""We hung out after work."", ""They hang out at the café.""]","[""daily"", ""smalltalk""]",hang_out__social,false,false
hang over,to cause anxiety,"[""The deadline is hanging over us."",""The threat hung over the city.""]","[""work"",""daily""]",hang_over__anxiety,false,false
hang up,to end a call,"[""She hung up the phone."",""He hung up on me.""]","[""work"",""daily""]",hang_up__end_call,true,false
head back,to return,"[""We headed back home."",""She headed back to the office.""]","[""daily""]",head_back__return,false,false
head for,to move toward,"[""He headed for the door."",""They are heading for trouble.""]","[""daily""]",head_for__move,false,false
head off,to prevent,"[""We headed off a crisis."",""He headed off the argument.""]","[""work"",""projects""]",head_off__prevent,false,false
head out,to leave,"[""Let's head out for lunch."", ""He headed out early.""]","[""daily"", ""smalltalk""]",head_out__leave,false,false
head up,to lead,"[""She heads up the new team."",""He headed up the committee.""]","[""work"",""projects""]",head_up__lead,false,false
hit back,to retaliate,"[""He hit back at critics."",""She hit back strongly.""]","[""work"",""daily""]",hit_back__retaliate,false,false
hit on,to discover or flirt,"[""He hit on a new idea."",""He hit on her at the party.""]","[""work"",""daily""]",hit_on__discover,false,false
hit out at,to criticize,"[""The minister hit out at the media."",""He hit out at the policy.""]","[""work"",""daily""]",hit_out_at__criticize,false,false
hold against,to blame,"[""She held the error against him."",""He held it against her for years.""]","[""work"",""daily""]",hold_against__blame,false,false
hold back,to restrain,"[""She held back her anger."",""They held back information.""]","[""work"",""daily""]",hold_back__restrain,true,false
hold forth,to speak at length,"[""He held forth on politics."",""She held forth during the meeting.""]","[""work"",""meetings""]",hold_forth__speak,false,false
hold off,to delay,"[""Hold off on deploying until tests finish."",""The rain held off until evening.""]","[""work"",""projects""]",hold_off__delay,false,false
hold on,to wait,"[""Hold on a second."",""Hold on, I’ll check the logs.""]","[""work"",""daily""]",hold_on__wait,false,false
hold on to,to keep,"[""Hold on to your tickets."",""She held on to her old laptop.""]","[""work"",""daily""]",hold_on_to__keep,false,false
hold out,to continue,"[""He held out under pressure."",""They held out until help arrived.""]","[""work"",""daily""]",hold_out__continue,false,false
hold out for,to wait for something better,"[""They held out for a higher salary."",""She held out for a better offer.""]","[""work"",""career""]",hold_out_for__wait,false,false
hold out on,to withhold,"[""He held out on giving details."",""She held out on me.""]","[""work"",""daily""]",hold_out_on__withhold,false,false
hold over,to postpone,"[""The decision was held over."",""They held over the event.""]","[""work"",""projects""]",hold_over__postpone,true,false
hold up,to delay or block,"[""Traffic held us up."", ""The deployment was held up by errors.""]","[""work"", ""daily""]",hold_up__delay,true,false
hold up as,to use as example,"[""He was held up as a model employee."",""The project was held up as a success.""]","[""work"",""projects""]",hold_up_as__example,true,false
hook up,to connect,"[""Hook up the new device."", ""He hooked up the API.""]","[""IT""]",hook_up__connect,true,false
hunt down,to search persistently,"[""They hunted down the bug."",""Police hunted down the suspect.""]","[""IT"",""daily""]",hunt_down__search,true,false
hurry up,to be quick,"[""Hurry up, we’re late."",""He hurried up with the report.""]","[""work"",""daily""]",hurry_up__quick,false,false
iron out,to resolve,"[""They ironed out the differences."",""We need to iron out the details.""]","[""work"",""projects""]",iron_out__resolve,false,false
jack up,to increase,"[""They jacked up the prices."",""He jacked up the car.""]","[""work"",""daily""]",jack_up__increase,true,false
join in,to participate,"[""She joined in the discussion."",""He joined in the fun.""]","[""work"",""daily""]",join_in__participate,false,false
join up,to enlist or connect,"[""He joined up with the army."",""The wires joined up.""]","[""work"",""daily""]",join_up__enlist,false,false
jot down,to write quickly,"[""Jot down the notes."",""He jotted down the number.""]","[""work"",""daily""]",jot_down__write,true,false
jump at,to eagerly accept,"[""She jumped at the offer."",""He jumped at the chance.""]","[""work"",""daily""]",jump_at__accept,false,false
jump in,to intervene quickly,"[""She jumped in with an answer."",""He jumped in to help.""]","[""work"",""meetings""]",jump_in__intervene,false,false
jump on,to criticize,"[""He jumped on the mistake."",""She jumped on him for being late.""]","[""work"",""daily""]",jump_on__criticize,false,false
keep at,to persist,"[""Keep at your studies."",""She kept at the task until it was done.""]","[""work"",""career""]",keep_at__persist,false,false
keep away,to avoid,"[""Keep away from the server room."",""He kept away from conflicts.""]","[""work"",""daily""]",keep_away__avoid,false,false
keep away from,to avoid,"[""Keep away from the servers."",""She kept away from conflict.""]","[""work"",""daily""]",keep_away_from__avoid,false,false
keep back,to withhold,"[""He kept back some information."",""The update was kept back.""]","[""work"",""projects""]",keep_back__withhold,true,false
keep down,to control or reduce,"[""Keep the noise down."",""They kept down costs effectively.""]","[""work"",""daily""]",keep_down__reduce,true,false
keep from,to prevent,"[""He kept me from leaving."",""She kept herself from crying.""]","[""work"",""daily""]",keep_from__prevent,false,false
keep in with,to stay friendly,"[""He kept in with management."",""She kept in with her colleagues.""]","[""work"",""daily""]",keep_in_with__friendly,false,false
keep off,to stay away from,"[""Keep off the grass."",""Keep off this topic during the meeting.""]","[""work"",""daily""]",keep_off__stayaway,false,false
keep on,to continue,"[""Keep on practicing coding."",""She kept on talking despite interruptions.""]","[""work"",""daily""]",keep_on__continue,false,false
keep on at,to nag or pester,"[""She kept on at him to finish the work."",""He kept on at me about deadlines.""]","[""work"",""daily""]",keep_on_at__nag,false,false
keep out,to prevent entry,"[""Keep out of the restricted area."",""Unauthorized users were kept out.""]","[""IT"",""security""]",keep_out__prevent,false,false
keep out of,to avoid involvement,"[""Keep out of this dispute."",""He kept out of trouble.""]","[""work"",""daily""]",keep_out_of__avoid,false,false
keep to,to stick to,"[""Keep to the plan."",""He kept to his promises.""]","[""work"",""projects""]",keep_to__stick,false,false
keep under,to monitor,"[""Keep the servers under observation."",""He was kept under review.""]","[""IT"",""projects""]",keep_under__monitor,false,false
keep up with,to stay at the same level,"[""It's hard to keep up with new technologies."",""She kept up with her tasks easily.""]","[""work"",""IT""]",keep_up_with__stay,false,false
kick against,to resist,"[""He kicked against the new rules."",""They kicked against authority.""]","[""work"",""daily""]",kick_against__resist,false,false
kick in,to start to take effect,"[""The painkillers kicked in."",""The new law kicked in last week.""]","[""daily""]",kick_in__start,false,false
kick off,"to begin (a meeting, project, event)","[""The meeting kicked off at 10."",""We kicked off the new sprint today.""]","[""work"",""projects""]",kick_off__start,true,true
kick out,to force someone to leave,"[""He was kicked out of the group."",""They kicked out the disruptive user.""]","[""work"",""daily""]",kick_out__expel,true,false
kick up,to cause trouble,"[""He kicked up a fuss."",""They kicked up dust.""]","[""daily""]",kick_up__trouble,true,false
knock back,to drink quickly or refuse,"[""He knocked back three beers."",""She knocked back the offer.""]","[""daily""]",knock_back__drink_refuse,true,false
knock down,to demolish or reduce,"[""They knocked down the building."",""The price was knocked down.""]","[""work"",""daily""]",knock_down__demolish,true,false
knock off,to stop working or reduce,"[""Let’s knock off for the day."",""They knocked 10% off the price.""]","[""work"",""daily""]",knock_off__stop_reduce,true,false
knock out,to eliminate or render unconscious,"[""The bug knocked out the system."",""He was knocked out in the fight.""]","[""IT"",""daily""]",knock_out__eliminate,true,false
knock out of,to eliminate,"[""They were knocked out of the tournament."",""He was knocked out of the contest.""]","[""daily""]",knock_out_of__eliminate,false,false
knock together,to build quickly,"[""They knocked together a prototype."",""We knocked together a quick script.""]","[""work"",""projects""]",knock_together__build,true,false
knuckle down,to focus seriously,"[""It’s time to knuckle down and study."",""She knuckled down to work.""]","[""work"",""projects""]",knuckle_down__focus,false,false
knuckle under,to yield or submit,"[""He knuckled under to pressure."",""She knuckled under to authority.""]","[""work"",""daily""]",knuckle_under__submit,false,false
lap up,to enjoy eagerly,"[""The crowd lapped up the performance."",""He lapped up the praise.""]","[""daily""]",lap_up__enjoy,false,false
lash out,to attack verbally or physically,"[""He lashed out at his colleague."",""She lashed out in anger.""]","[""work"",""daily""]",lash_out__attack,false,false
lay aside,to stop temporarily,"[""He laid aside the project."",""They laid aside differences.""]","[""work"",""projects""]",lay_aside__stop,true,false
lay down,to establish rules,"[""They laid down strict policies."",""The law lays down requirements.""]","[""work"",""daily""]",lay_down__establish,true,false
lay into,to attack verbally,"[""He laid into his colleague."",""She laid into the poor service.""]","[""work"",""daily""]",lay_into__attack,false,false
lay off,to dismiss from job,"[""The company laid off workers."", ""He was laid off last year.""]","[""work"", ""daily""]",lay_off__dismiss,true,false
lay off of,to stop using or doing,"[""Lay off of junk food."",""Lay off of bothering him.""]","[""daily""]",lay_off_of__stop,false,false
lay out,to arrange or set out (items/plan) clearly,"[""She laid out the plan."",""He laid the components out on the desk.""]","[""work"",""projects""]",lay_out__arrange,true,false
lay out,to explain clearly and in detail,"[""He laid out the requirements clearly."",""Let me lay out the options.""]","[""work"",""projects""]",lay_out__explain,true,false
lay out for,to spend money,"[""He laid out for new equipment."",""The company laid out for licenses.""]","[""work"",""IT""]",lay_out_for__spend,true,false
lay up,to store/put aside for future use,"[""They laid up supplies for winter."",""Parts were laid up in the warehouse.""]","[""work"",""daily""]",lay_up__store,true,false
leaf through,to skim,"[""He leafed through the magazine."",""She leafed through the report.""]","[""work"",""daily""]",leaf_through__skim,false,false
leave out,to omit,"[""They left out key details."",""She left out his name.""]","[""work"",""projects""]",leave_out__omit,true,false
let down,to disappoint or lower,"[""He let down his team."",""The rope let down slowly.""]","[""work"",""daily""]",let_down__disappoint,true,false
let in on,to share a secret,"[""He let me in on the plan."",""She let them in on her idea.""]","[""work"",""daily""]",let_in_on__secret,false,false
let off,to excuse or explode,"[""He was let off with a warning."",""Fireworks were let off.""]","[""daily""]",let_off__excuse,true,false
let out,to release,"[""They let out the prisoners."",""She let out a sigh.""]","[""daily""]",let_out__release,true,false
let up,to stop or lessen,"[""The rain let up."",""Work pressure never lets up.""]","[""daily""]",let_up__stop,false,false
light up,to illuminate or become happy,"[""The room lit up."",""Her face lit up with joy.""]","[""daily""]",light_up__illuminate,true,false
line up,to arrange/organize in order or schedule,"[""They lined up interviews."",""We lined the chairs up.""]","[""work"",""projects""]",line_up__arrange,true,true
line up with,to match or align,"[""The results line up with expectations."",""His story didn’t line up with the facts.""]","[""work"",""projects""]",line_up_with__align,false,false
live down,to overcome shame,"[""He’ll never live down that mistake."",""She lived down the embarrassment.""]","[""work"",""daily""]",live_down__overcome,false,false
live through,to survive,"[""They lived through hard times."",""He lived through the war.""]","[""daily""]",live_through__survive,false,false
live up to,to meet expectations,"[""The product lived up to the hype."",""She lived up to her reputation.""]","[""work"",""daily""]",live_up_to__meet,false,false
live with,to tolerate,"[""We must live with uncertainty."",""She lives with her mistakes.""]","[""work"",""daily""]",live_with__tolerate,false,false
log in,to access a system,"[""Log in with your credentials."", ""I can't log in to the server.""]","[""IT""]",log_in__access,false,false
log off,to disconnect from a system,"[""Log off when you’re done."",""He logged off early.""]","[""IT""]",log_off__disconnect,false,false
log on,to access a computer system,"[""Log on to the portal."",""She logged on successfully.""]","[""IT""]",log_on__access,false,false
log out,to exit a system,"[""Don't forget to log out after work."", ""She logged out of the app.""]","[""IT""]",log_out__exit,false,false
look after,to take care of,"[""He looks after the servers."",""She looks after the interns.""]","[""work"",""daily""]",look_after__care,false,false
look ahead,to plan for the future,"[""We need to look ahead five years."",""She always looks ahead.""]","[""work"",""projects""]",look_ahead__plan,false,false
look ahead to,to think about the future,"[""We’re looking ahead to next year."",""She looks ahead to retirement.""]","[""work"",""projects""]",look_ahead_to__future,false,false
look around,to explore,"[""We looked around the new office."",""He looked around for options.""]","[""work"",""daily""]",look_around__explore,false,false
look at,to examine,"[""Look at the code carefully."",""She looked at the results.""]","[""work"",""IT""]",look_at__examine,false,false
look back,to reflect,"[""Look back at your progress."",""He looked back on his career.""]","[""work"",""career""]",look_back__reflect,false,false
look back on,to reflect on/remember the past,"[""She looked back on her career."",""He looked back on happy memories.""]","[""work"",""daily""]",look_back_on__reflect,false,false
look beyond,to think of future possibilities,"[""Look beyond short-term results."",""They looked beyond the current issue.""]","[""work"",""projects""]",look_beyond__future,false,false
look down on,to regard as inferior / disrespect,"[""He looks down on junior staff."",""She looked down on their efforts.""]","[""work"",""daily""]",look_down_on__inferior,false,false
look for,to search,"[""We're looking for new solutions."",""She is looking for her keys.""]","[""work"",""daily""]",look_for__search,false,false
look forward to,to anticipate,"[""I look forward to the meeting."",""She looks forward to working with you.""]","[""work"",""daily""]",look_forward_to__anticipate,false,false
look in on,to check briefly,"[""She looked in on her friend."",""He looked in on the servers.""]","[""work"",""IT""]",look_in_on__check,false,false
look into,to investigate,"[""We’ll look into the error."",""The team looked into the issue.""]","[""work"",""IT""]",look_into__investigate,false,false
look on,to watch,"[""He looked on as they argued."",""She looked on silently.""]","[""daily""]",look_on__watch,false,false
look out,to be careful,"[""Look out! There’s a bug."",""Look out when deploying.""]","[""IT"",""daily""]",look_out__careful,false,false
look out for,to be vigilant for / watch for,"[""Look out for phishing emails."",""Watch out for errors.""]","[""IT"",""security""]",look_out_for__watch_for,false,false
look out for,to take care of / protect,"[""He looks out for his team."",""Look out for your little brother.""]","[""work"",""daily""]",look_out_for__take_care_of,false,false
look over,to review quickly,"[""Look over the documentation."",""He looked over the plan.""]","[""work"",""projects""]",look_over__review,false,false
look through,"to examine/scan (docs, code, logs)","[""She looked through the report."",""He looked through the code.""]","[""work"",""IT""]",look_through__examine,false,false
look through,to read quickly/skim,"[""He looked through the files."",""She looked through the magazine.""]","[""work"",""daily""]",look_through__read,false,false
look to,to rely on or consider,"[""We look to technology for solutions."",""He looks to his mentor for advice.""]","[""work"",""projects""]",look_to__rely,false,false
look up,to search for information,"[""Look up the error code."",""I looked it up online.""]","[""IT"",""daily""]",look_up__search,true,false
look up to,to admire,"[""I look up to my manager."",""They look up to her skills.""]","[""work"",""daily""]",look_up_to__admire,false,false
look upon,to regard as,"[""He looks upon it as a challenge."",""They look upon her as a leader.""]","[""work"",""daily""]",look_upon__regard,false,false
luck out,to be lucky,"[""We lucked out with the weather."",""He really lucked out on that deal.""]","[""daily""]",luck_out__lucky,false,false
make after,to chase,"[""The police made after the thief."",""He made after the bus.""]","[""daily""]",make_after__chase,false,false
make away with,to steal,"[""The burglars made away with cash."",""He made away with the prize.""]","[""daily""]",make_away_with__steal,false,false
make for,to move towards,"[""She made for the exit."",""He made for the door.""]","[""daily""]",make_for__move_towards,false,true
make for,to contribute to / lead to (result/condition),"[""Rain makes for bad traffic."",""Caching makes for faster loads.""]","[""daily"",""IT""]",make_for__lead_to,false,true
make into,to convert,"[""They made the room into an office."",""He made the story into a film.""]","[""work"",""projects""]",make_into__convert,true,false
make of,to interpret / form an opinion about,"[""What do you make of this error?"",""She made nothing of the remark.""]","[""work"",""daily""]",make_of__interpret,false,false
make off with,to steal,"[""The thief made off with her purse."",""They made off with the documents.""]","[""daily""]",make_off_with__steal,false,false
make out,to discern/understand with difficulty,"[""I can’t make out the handwriting."",""We couldn’t make the words out.""]","[""work"",""daily""]",make_out__discern,true,false
make out,to kiss passionately,"[""They were making out in the park."",""The couple made out behind the venue.""]","[""daily""]",make_out__kiss,false,true
make over,to transfer ownership,"[""They made over the property."",""He made the business over to his son.""]","[""work"",""daily""]",make_over__transfer,true,false
make up,to invent/fabricate,"[""He made up an excuse."",""She made the whole story up.""]","[""work"",""daily""]",make_up__invent,true,false
make up,to become friends again / reconcile,"[""They made up after the fight."",""Come on, let’s make up.""]","[""daily""]",make_up__reconcile,false,true
make up for,to compensate,"[""He made up for the lost time."", ""This will make up for the delay.""]","[""work"", ""daily""]",make_up_for__compensate,false,false
make with,to produce quickly,"[""He made with the coffee."",""She made with a smile.""]","[""daily""]",make_with__produce,false,false
map out,to plan in detail,"[""Let's map out the project."", ""They mapped out their strategy.""]","[""work"", ""projects""]",map_out__plan,true,false
measure up,to be good enough,"[""He didn’t measure up to expectations."",""She measured up well in the interview.""]","[""work"",""career""]",measure_up__sufficient,false,false
meet up,to meet,"[""We met up after work."",""They met up in the city.""]","[""daily""]",meet_up__meet,false,false
mess about,to waste time,"[""Stop messing about and get to work."",""The kids were messing about in class.""]","[""daily""]",mess_about__waste,false,false
mess around,to waste time,"[""Stop messing around and work."", ""They were just messing around.""]","[""daily"", ""smalltalk""]",mess_around__waste,false,false
mess around with,to handle carelessly,"[""Don’t mess around with the servers."",""He was messing around with the settings.""]","[""IT"",""daily""]",mess_around_with__careless,false,false
mess up,to make a mistake,"[""He messed up the presentation."",""She messed up the database.""]","[""work"",""IT""]",mess_up__mistake,true,false
miss out on,to fail to benefit,"[""She missed out on the opportunity."",""He missed out on the training.""]","[""work"",""career""]",miss_out_on__fail,false,false
mix in with,to socialize,"[""He mixed in with the crowd."",""She mixed in with new colleagues.""]","[""work"",""daily""]",mix_in_with__socialize,false,false
mix up,to confuse,"[""He mixed up the dates."",""I always mix up these terms.""]","[""work"",""daily""]",mix_up__confuse,true,false
move forward,to make progress,"[""Let's move forward with the plan."", ""We are moving forward despite the challenges.""]","[""work"", ""projects""]",move_forward__progress,false,false
move in on,to take control,"[""The company moved in on a competitor."",""Police moved in on the suspects.""]","[""work"",""projects""]",move_in_on__control,false,false
move on,to continue,"[""Let's move on to the next topic."", ""He moved on after the breakup.""]","[""work"", ""daily""]",move_on__continue,false,false
move out,to leave residence,"[""He moved out of the apartment."",""They moved out last year.""]","[""daily""]",move_out__leave,false,false
move over,to shift position,"[""Move over so I can sit."",""He moved over to another team.""]","[""work"",""daily""]",move_over__shift,false,false
nail down,to define or secure,"[""We nailed down the requirements."",""They nailed down a contract.""]","[""work"",""projects""]",nail_down__define,true,false
narrow down,to reduce options,"[""We narrowed down the candidates."",""They narrowed down the list.""]","[""work"",""projects""]",narrow_down__reduce,true,false
narrow down to,to reduce to,"[""We narrowed it down to two options."",""The suspect list was narrowed down to three.""]","[""work"",""projects""]",narrow_down_to__reduce,false,false
nod off,to fall asleep,"[""He nodded off during the meeting."",""She nodded off on the sofa.""]","[""daily""]",nod_off__sleep,false,false
note down,to record information,"[""Note down this phone number."", ""He noted down the errors.""]","[""work"", ""daily""]",note_down__record,true,false
open up,to start talking or unlock,"[""She opened up about her past."",""They opened up a new store.""]","[""work"",""daily""]",open_up__talk,false,false
opt out,to choose not to participate,"[""She opted out of the project."",""He opted out of the survey.""]","[""work"",""projects""]",opt_out__not_participate,false,false
own up,to admit,"[""He owned up to the mistake."",""She owned up to breaking the rules.""]","[""work"",""daily""]",own_up__admit,false,false
own up to,to confess,"[""He owned up to the mistake."",""She owned up to cheating.""]","[""work"",""daily""]",own_up_to__confess,false,false
pack away,to store or eat a lot,"[""He packed away his winter clothes."",""She packed away two pizzas.""]","[""daily""]",pack_away__store,true,false
pack in,to stop or crowd,"[""He packed in his job."",""They packed in thousands of fans.""]","[""work"",""daily""]",pack_in__stop,false,false
pack off,to send away,"[""They packed the kids off to school."",""He was packed off to boarding school.""]","[""daily""]",pack_off__send,true,false
pack out,to fill,"[""The stadium was packed out."",""The hall was packed out with fans.""]","[""daily""]",pack_out__fill,true,false
pack up,to stop working or gather belongings,"[""The laptop packed up."",""Let’s pack up and leave.""]","[""work"",""daily""]",pack_up__stop,true,false
pair up,to partner,"[""The students paired up for the task."",""We paired up in the lab.""]","[""work"",""daily""]",pair_up__partner,false,false
paper over,to hide a problem,"[""They papered over the cracks."",""She papered over the issue.""]","[""work"",""projects""]",paper_over__hide,true,false
part with,to give up,"[""He parted with his old laptop."",""She parted with valuable jewelry.""]","[""daily""]",part_with__giveup,false,false
pass around,to distribute,"[""They passed around the agenda."",""She passed around snacks.""]","[""work"",""meetings""]",pass_around__distribute,true,false
pass away,to die,"[""His grandfather passed away."",""She passed away peacefully.""]","[""daily""]",pass_away__die,false,false
pass off as,to pretend,"[""He passed himself off as a doctor."",""She passed the fake off as real.""]","[""work"",""daily""]",pass_off_as__pretend,false,false
pass on,to transmit or decline,"[""She passed on the message."",""He passed on dessert.""]","[""work"",""daily""]",pass_on__transmit,false,false
pass out,to faint / lose consciousness,"[""He passed out during the talk."",""She passed out on the bus.""]","[""daily""]",pass_out__faint,false,true
pass out,to distribute/hand out,"[""They passed out leaflets."",""The teacher passed the tests out.""]","[""work"",""daily""]",pass_out__distribute,true,false
pass over,to ignore,"[""She was passed over for promotion."",""He felt passed over by his boss.""]","[""work"",""career""]",pass_over__ignore,true,false
pass up,to decline,"[""Don’t pass up this opportunity."",""He passed up the offer.""]","[""work"",""career""]",pass_up__decline,true,false
patch up,to fix temporarily,"[""They patched up the issue."", ""He patched up the old server.""]","[""IT""]",patch_up__fix,true,false
pay back,to return money,"[""I’ll pay you back tomorrow."",""She paid back the loan.""]","[""work"",""daily""]",pay_back__return,true,false
pay off,to repay a debt/loan fully,"[""He paid off his debts."",""We paid the mortgage off early.""]","[""work"",""daily""]",pay_off__repay,true,false
pay off,to yield good results / succeed,"[""Hard work paid off."",""The strategy paid off.""]","[""work"",""projects""]",pay_off__succeed,false,true
pay out,to distribute money,"[""The company paid out bonuses."",""The insurance paid out after the accident.""]","[""work"",""daily""]",pay_out__distribute,true,false
phase out,to gradually end use,"[""They plan to phase the model out."",""We will phase out single-use plastics.""]","[""work"",""daily""]",phase_out__gradually_end_use,false,false
pick at,to eat little or find faults,"[""He picked at his food."",""She picked at every detail.""]","[""daily""]",pick_at__fault,false,false
pick off,to target individually,"[""The sniper picked off the soldiers."",""The reviewer picked off minor mistakes.""]","[""work"",""daily""]",pick_off__target,true,false
pick on,to bully or criticize,"[""He was picked on at school."",""She picks on her little brother.""]","[""daily""]",pick_on__bully,false,false
pick out,to choose,"[""Pick out a book to read."",""She picked out a new laptop.""]","[""work"",""daily""]",pick_out__choose,true,false
pick up,to collect or learn,"[""She picked up the package."",""He picked up Spanish quickly.""]","[""work"",""daily""]",pick_up__collect,true,false
pick up on,to notice,"[""She picked up on his nervousness."",""He picked up on the mistake.""]","[""work"",""daily""]",pick_up_on__notice,false,false
pile into,to enter enthusiastically,"[""The kids piled into the car."",""Investors piled into the stock.""]","[""daily"",""finance""]",pile_into__enter,false,false
pile on,to add pressure,"[""They piled on the criticism."",""He piled on more work.""]","[""work"",""daily""]",pile_on__pressure,false,false
pipe up,to speak suddenly,"[""She piped up with a suggestion."",""He piped up during the lecture.""]","[""work"",""meetings""]",pipe_up__speak,false,false
play along,to pretend to cooperate,"[""She played along with the joke."",""He played along in the meeting.""]","[""work"",""daily""]",play_along__pretend,false,false
play along with,to cooperate,"[""He played along with the plan."",""She played along with the prank.""]","[""work"",""daily""]",play_along_with__cooperate,false,false
